Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Class I histone deacetylase inhibitor suppresses vasculogenic mimicry by enhancing the expression of tumor suppressor and anti-angiogenesis genes in aggressive human TNBC cells.","/pubmed/31059004","Maiti A, Qi Q, Peng X, Yan L, Takabe K, Hait NC.","Int J Oncol. 2019 May 6. doi: 10.3892/ijo.2019.4796. [Epub ahead of print]","Int J Oncol.  2019","PubMed","citation","PMID:31059004","pubmed","31059004","create date:2019/05/07 | first author:Maiti A",
"DAXX, as a Tumor Suppressor, Impacts DNA Damage Repair and Sensitizes BRCA-Proficient TNBC Cells to PARP Inhibitors.","/pubmed/31029033","Shi Y, Jin J, Wang X, Ji W, Guan X.","Neoplasia. 2019 Apr 24;21(6):533-544. doi: 10.1016/j.neo.2019.04.001. [Epub ahead of print]","Neoplasia.  2019","PubMed","citation","PMID:31029033 | PMCID:PMC6484230","pubmed","31029033","create date:2019/04/28 | first author:Shi Y",
"The pro- and anti-tumor roles of mesenchymal stem cells toward BRCA1-IRIS-overexpressing TNBC cells.","/pubmed/31014367","Ryan D, Paul BT, Koziol J, ElShamy WM.","Breast Cancer Res. 2019 Apr 24;21(1):53. doi: 10.1186/s13058-019-1131-2.","Breast Cancer Res.  2019","PubMed","citation","PMID:31014367 | PMCID:PMC6480921","pubmed","31014367","create date:2019/04/25 | first author:Ryan D",
"LncRNA NRON downregulates lncRNA snaR and inhibits cancer cell proliferation in triple negative breast cancer (TNBC).","/pubmed/30996114","Niu L, Fan Q, Yan M, Wang L.","Biosci Rep. 2019 Apr 17. pii: BSR20190468. doi: 10.1042/BSR20190468. [Epub ahead of print]","Biosci Rep.  2019","PubMed","citation","PMID:30996114","pubmed","30996114","create date:2019/04/19 | first author:Niu L",
"Inhibition of USP2 eliminates cancer stem cells and enhances TNBC responsiveness to chemotherapy.","/pubmed/30918246","He J, Lee HJ, Saha S, Ruan D, Guo H, Chan CH.","Cell Death Dis. 2019 Mar 28;10(4):285. doi: 10.1038/s41419-019-1512-6.","Cell Death Dis.  2019","PubMed","citation","PMID:30918246 | PMCID:PMC6437220","pubmed","30918246","create date:2019/03/29 | first author:He J",
"Investigation of TNBC in vitro Antiproliferative Effects of Versatile Pirrolo[1,2-a]quinoxaline Compounds.","/pubmed/30915341","Perri M, Aiello F, Cione E, Carullo G, Amendola L, Mazzotta S, Caroleo MC.","Front Mol Biosci. 2019 Mar 12;6:12. doi: 10.3389/fmolb.2019.00012. eCollection 2019.","Front Mol Biosci.  2019","PubMed","citation","PMID:30915341 | PMCID:PMC6423061","pubmed","30915341","create date:2019/03/28 | first author:Perri M",
"Atezolizumab Combo Approved for PD-L1-positive TNBC.","/pubmed/30894361","[No authors listed]","Cancer Discov. 2019 May;9(5):OF2. doi: 10.1158/2159-8290.CD-NB2019-038. Epub 2019 Mar 20.","Cancer Discov.  2019","PubMed","citation","PMID:30894361","pubmed","30894361","create date:2019/03/22",
"EGCG-Derivative G28 Shows High Efficacy Inhibiting the Mammosphere-Forming Capacity of Sensitive and Resistant TNBC Models.","/pubmed/30875891","Giró-Perafita A, Rabionet M, Planas M, Feliu L, Ciurana J, Ruiz-Martínez S, Puig T.","Molecules. 2019 Mar 15;24(6). pii: E1027. doi: 10.3390/molecules24061027.","Molecules.  2019","PubMed","citation","PMID:30875891 | PMCID:PMC6471537","pubmed","30875891","create date:2019/03/17 | first author:Giró-Perafita A",
"Genetic alterations of triple negative breast cancer (TNBC) in women from Northeastern Mexico.","/pubmed/30867801","Uscanga-Perales GI, Santuario-Facio SK, Sanchez-Dominguez CN, Cardona-Huerta S, Muñoz-Maldonado GE, Ruiz-Flores P, Barcenas-Walls JR, Osuna-Rosales LE, Rojas-Martinez A, Gonzalez-Guerrero JF, Valero-Gomez J, Gomez-Macias GS, Barbosa-Quintana A, Barboza-Quintana O, Garza-Guajardo R, Ortiz-Lopez R.","Oncol Lett. 2019 Mar;17(3):3581-3588. doi: 10.3892/ol.2019.9984. Epub 2019 Jan 29.","Oncol Lett.  2019","PubMed","citation","PMID:30867801 | PMCID:PMC6396222","pubmed","30867801","create date:2019/03/15 | first author:Uscanga-Perales GI",
"The Novel Mnk1/2 Degrader and Apoptosis Inducer VNLG-152 Potently Inhibits TNBC Tumor Growth and Metastasis.","/pubmed/30832411","Ramalingam S, Ramamurthy VP, Gediya LK, Murigi FN, Purushottamachar P, Huang W, Choi EY, Zhang Y, Vasaitis TS, Kane MA, Lapidus RG, Njar VCO.","Cancers (Basel). 2019 Mar 3;11(3). pii: E299. doi: 10.3390/cancers11030299.","Cancers (Basel).  2019","PubMed","citation","PMID:30832411 | PMCID:PMC6468747","pubmed","30832411","create date:2019/03/06 | first author:Ramalingam S",
"36PStructural diversity of the cardenolide calotropin renders it as a targeted therapy for harnessing TNBC progression through tuning nitric oxide (NO) levels.","/pubmed/30810184","El-Layeh RA, Youness RA, Askary H, Abdelmotaal A, Assal RA.","Ann Oncol. 2019 Feb 1;30(Supplement_1). pii: mdz026.007. doi: 10.1093/annonc/mdz026.007. No abstract available. ","Ann Oncol.  2019","PubMed","citation","PMID:30810184","pubmed","30810184","create date:2019/02/28 | first author:El-Layeh RA",
"Trends in utilization of hypofractionated whole breast irradiation (HF-WBI) in triple negative breast cancer (TNBC): a national cancer database (NCDB) analysis.","/pubmed/30796656","Rice SR, Feigenberg SJ, Hamza M, Molitoris JK, Bentzen SM, Tkaczuk KHR, Rosenblatt PM, Bellavance EC, Nichols EM.","Breast Cancer Res Treat. 2019 Feb 22. doi: 10.1007/s10549-019-05150-x. [Epub ahead of print]","Breast Cancer Res Treat.  2019","PubMed","citation","PMID:30796656","pubmed","30796656","create date:2019/02/24 | first author:Rice SR",
"Genomic and GeneChip expression profiling reveals the inhibitory effects of Amorphophalli Rhizoma in TNBC cells.","/pubmed/30731183","Wu C, Chen M, Zhang Q, Yu L, Zhu J, Gao X.","J Ethnopharmacol. 2019 May 10;235:206-218. doi: 10.1016/j.jep.2019.02.004. Epub 2019 Feb 4.","J Ethnopharmacol.  2019","PubMed","citation","PMID:30731183","pubmed","30731183","create date:2019/02/08 | first author:Wu C",
"Disulfiram and BKM120 in Combination with Chemotherapy Impede Tumor Progression and Delay Tumor Recurrence in Tumor Initiating Cell-Rich TNBC.","/pubmed/30659204","Wu L, Meng F, Dong L, Block CJ, Mitchell AV, Wu J, Jang H, Chen W, Polin L, Yang Q, Dou QP, Wu G.","Sci Rep. 2019 Jan 18;9(1):236. doi: 10.1038/s41598-018-35619-6.","Sci Rep.  2019","PubMed","citation","PMID:30659204 | PMCID:PMC6338744","pubmed","30659204","create date:2019/01/20 | first author:Wu L",
"Prolactin modulates TNBC aggressive phenotype limiting tumorigenesis.","/pubmed/30640712","López-Ozuna VM, Hachim IY, Hachim MY, Lebrun JJ, Ali S.","Endocr Relat Cancer. 2019 Jan 1. pii: ERC-18-0523.R1. doi: 10.1530/ERC-18-0523. [Epub ahead of print]","Endocr Relat Cancer.  2019","PubMed","citation","PMID:30640712","pubmed","30640712","create date:2019/01/15 | first author:López-Ozuna VM",
"Germline TP53 and MSH6 mutations implicated in sporadic triple-negative breast cancer (TNBC): a preliminary study.","/pubmed/30630526","Yi D, Xu L, Luo J, You X, Huang T, Zi Y, Li X, Wang R, Zhong Z, Tang X, Li A, Shi Y, Rao J, Zhang Y, Sang J.","Hum Genomics. 2019 Jan 10;13(1):4. doi: 10.1186/s40246-018-0186-y.","Hum Genomics.  2019","PubMed","citation","PMID:30630526 | PMCID:PMC6327518","pubmed","30630526","create date:2019/01/12 | first author:Yi D",
"Setting dictates efficacy of pembrolizumab in TNBC.","/pubmed/30573793","Sidaway P.","Nat Rev Clin Oncol. 2019 Feb;16(2):66. doi: 10.1038/s41571-018-0157-1. No abstract available. ","Nat Rev Clin Oncol.  2019","PubMed","citation","PMID:30573793","pubmed","30573793","create date:2018/12/24 | first author:Sidaway P",
"PD-L1 Inhibitor Improves Survival in TNBC.","/pubmed/30464002","[No authors listed]","Cancer Discov. 2019 Jan;9(1):OF5. doi: 10.1158/2159-8290.CD-NB2018-154. Epub 2018 Nov 21.","Cancer Discov.  2019","PubMed","citation","PMID:30464002","pubmed","30464002","create date:2018/11/23",
"TNBC Challenge: Oligonucleotide Aptamers for New Imaging and Therapy Modalities.","/pubmed/30428522","Camorani S, Fedele M, Zannetti A, Cerchia L.","Pharmaceuticals (Basel). 2018 Nov 13;11(4). pii: E123. doi: 10.3390/ph11040123. Review.","Pharmaceuticals (Basel).  2018","PubMed","citation","PMID:30428522 | PMCID:PMC6316260","pubmed","30428522","create date:2018/11/16 | first author:Camorani S",
"DEPDC1, negatively regulated by miR-26b, facilitates cell proliferation via the up-regulation of FOXM1 expression in TNBC.","/pubmed/30419349","Zhang L, Du Y, Xu S, Jiang Y, Yuan C, Zhou L, Ma X, Bai Y, Lu J, Ma J.","Cancer Lett. 2019 Feb 1;442:242-251. doi: 10.1016/j.canlet.2018.11.003. Epub 2018 Nov 9.","Cancer Lett.  2019","PubMed","citation","PMID:30419349","pubmed","30419349","create date:2018/11/13 | first author:Zhang L",
"Benefit in patients with PD-L1-positive TNBC.","/pubmed/30401935","Romero D.","Nat Rev Clin Oncol. 2019 Jan;16(1):6. doi: 10.1038/s41571-018-0127-7. No abstract available. ","Nat Rev Clin Oncol.  2019","PubMed","citation","PMID:30401935","pubmed","30401935","create date:2018/11/08 | first author:Romero D",
"Targeting Thioredoxin System with an Organosulfur Compound, Diallyl Trisulfide (DATS), Attenuates Progression and Metastasis of Triple-Negative Breast Cancer (TNBC).","/pubmed/30396169","Liu Y, Zhao Y, Wei Z, Tao L, Sheng X, Wang S, Chen J, Ruan J, Liu Z, Cao Y, Shan Y, Wang A, Chen W, Lu Y.","Cell Physiol Biochem. 2018;50(5):1945-1963. doi: 10.1159/000494874. Epub 2018 Nov 5.","Cell Physiol Biochem.  2018","PubMed","citation","PMID:30396169","pubmed","30396169","create date:2018/11/06 | first author:Liu Y",
"Collagen prolyl 4-hydroxylase 1 is essential for HIF-1α stabilization and TNBC chemoresistance.","/pubmed/30367042","Xiong G, Stewart RL, Chen J, Gao T, Scott TL, Samayoa LM, O'Connor K, Lane AN, Xu R.","Nat Commun. 2018 Oct 26;9(1):4456. doi: 10.1038/s41467-018-06893-9.","Nat Commun.  2018","PubMed","citation","PMID:30367042 | PMCID:PMC6203834","pubmed","30367042","create date:2018/10/28 | first author:Xiong G",
"Positive feedback loop between mitochondrial fission and Notch signaling promotes survivin-mediated survival of TNBC cells.","/pubmed/30323195","Chen L, Zhang J, Lyu Z, Chen Y, Ji X, Cao H, Jin M, Zhu J, Yang J, Ling R, Xing J, Ren T, Lyu Y.","Cell Death Dis. 2018 Oct 15;9(11):1050. doi: 10.1038/s41419-018-1083-y.","Cell Death Dis.  2018","PubMed","citation","PMID:30323195 | PMCID:PMC6189045","pubmed","30323195","create date:2018/10/17 | first author:Chen L",
"Bcl-3 promotes proliferation and chemosensitivity in BL1 subtype of TNBC cells.","/pubmed/30289427","Huo J, Chen X, Zhang H, Hu Y, Jiang Y, Liu S, Zhang X.","Acta Biochim Biophys Sin (Shanghai). 2018 Nov 1;50(11):1141-1149. doi: 10.1093/abbs/gmy117.","Acta Biochim Biophys Sin (Shanghai).  2018","PubMed","citation","PMID:30289427","pubmed","30289427","create date:2018/10/06 | first author:Huo J",
"PYK2 negatively regulates the Hippo pathway in TNBC by stabilizing TAZ protein.","/pubmed/30250159","Kedan A, Verma N, Saroha A, Shreberk-Shaked M, Müller AK, Nair NU, Lev S.","Cell Death Dis. 2018 Sep 24;9(10):985. doi: 10.1038/s41419-018-1005-z.","Cell Death Dis.  2018","PubMed","citation","PMID:30250159 | PMCID:PMC6155151","pubmed","30250159","create date:2018/09/27 | first author:Kedan A",
"ST8SIA1 Regulates Tumor Growth and Metastasis in TNBC by Activating the FAK-AKT-mTOR Signaling Pathway.","/pubmed/30237308","Nguyen K, Yan Y, Yuan B, Dasgupta A, Sun J, Mu H, Do KA, Ueno NT, Andreeff M, Battula VL.","Mol Cancer Ther. 2018 Dec;17(12):2689-2701. doi: 10.1158/1535-7163.MCT-18-0399. Epub 2018 Sep 20.","Mol Cancer Ther.  2018","PubMed","citation","PMID:30237308 | PMCID:PMC6279518","pubmed","30237308","create date:2018/09/22 | first author:Nguyen K",
"Unravelling subclonal heterogeneity and aggressive disease states in TNBC through single-cell RNA-seq.","/pubmed/30181541","Karaayvaz M, Cristea S, Gillespie SM, Patel AP, Mylvaganam R, Luo CC, Specht MC, Bernstein BE, Michor F, Ellisen LW.","Nat Commun. 2018 Sep 4;9(1):3588. doi: 10.1038/s41467-018-06052-0.","Nat Commun.  2018","PubMed","citation","PMID:30181541 | PMCID:PMC6123496","pubmed","30181541","create date:2018/09/06 | first author:Karaayvaz M",
"Genomic Alterations Associated with Recurrence and TNBC Subtype in High-Risk Early Breast Cancers.","/pubmed/30171174","Wilson TR, Udyavar AR, Chang CW, Spoerke JM, Aimi J, Savage HM, Daemen A, O'Shaughnessy JA, Bourgon R, Lackner MR.","Mol Cancer Res. 2019 Jan;17(1):97-108. doi: 10.1158/1541-7786.MCR-18-0619. Epub 2018 Aug 31.","Mol Cancer Res.  2019","PubMed","citation","PMID:30171174","pubmed","30171174","create date:2018/09/02 | first author:Wilson TR",
"Whole exome sequencing of breast cancer (TNBC) cases from India: association of MSH6 and BRIP1 variants with TNBC risk and oxidative DNA damage.","/pubmed/30136158","Aravind Kumar M, Naushad SM, Narasimgu N, Nagaraju Naik S, Kadali S, Shanker U, Lakshmi Narasu M.","Mol Biol Rep. 2018 Oct;45(5):1413-1419. doi: 10.1007/s11033-018-4307-4. Epub 2018 Aug 22.","Mol Biol Rep.  2018","PubMed","citation","PMID:30136158","pubmed","30136158","create date:2018/08/24 | first author:Aravind Kumar M",
"Randomised feasibility trial to compare three standard of care chemotherapy regimens for early stage triple-negative breast cancer (REaCT-TNBC trial).","/pubmed/30040817","Hilton J, Stober C, Mazzarello S, Vandermeer L, Fergusson D, Hutton B, Clemons M.","PLoS One. 2018 Jul 24;13(7):e0199297. doi: 10.1371/journal.pone.0199297. eCollection 2018.","PLoS One.  2018","PubMed","citation","PMID:30040817 | PMCID:PMC6057636","pubmed","30040817","create date:2018/07/25 | first author:Hilton J",
"Leveraging MYC as a therapeutic treatment option for TNBC.","/pubmed/30035166","Carey JPW, Keyomarsi K.","Oncoscience. 2018 Jun 24;5(5-6):137-139. doi: 10.18632/oncoscience.424. eCollection 2018 May. No abstract available. ","Oncoscience.  2018","PubMed","citation","PMID:30035166 | PMCID:PMC6049306","pubmed","30035166","create date:2018/07/24 | first author:Carey JPW",
"Spatially constrained tandem bromodomain inhibition bolsters sustained repression of BRD4 transcriptional activity for TNBC cell growth.","/pubmed/30012592","Ren C, Zhang G, Han F, Fu S, Cao Y, Zhang F, Zhang Q, Meslamani J, Xu Y, Ji D, Cao L, Zhou Q, Cheung KL, Sharma R, Babault N, Yi Z, Zhang W, Walsh MJ, Zeng L, Zhou MM.","Proc Natl Acad Sci U S A. 2018 Jul 31;115(31):7949-7954. doi: 10.1073/pnas.1720000115. Epub 2018 Jul 16.","Proc Natl Acad Sci U S A.  2018","PubMed","citation","PMID:30012592 | PMCID:PMC6077712","pubmed","30012592","create date:2018/07/18 | first author:Ren C",
"Taxol Induces Brk-dependent Prosurvival Phenotypes in TNBC Cells through an AhR/GR/HIF-driven Signaling Axis.","/pubmed/29991529","Regan Anderson TM, Ma S, Perez Kerkvliet C, Peng Y, Helle TM, Krutilina RI, Raj GV, Cidlowski JA, Ostrander JH, Schwertfeger KL, Seagroves TN, Lange CA.","Mol Cancer Res. 2018 Nov;16(11):1761-1772. doi: 10.1158/1541-7786.MCR-18-0410. Epub 2018 Jul 10.","Mol Cancer Res.  2018","PubMed","citation","PMID:29991529 | PMCID:PMC6214723","pubmed","29991529","create date:2018/07/12 | first author:Regan Anderson TM",
"Overexpression of miR-361-5p in triple-negative breast cancer (TNBC) inhibits migration and invasion by targeting RQCD1 and inhibiting the EGFR/PI3K/Akt pathway.","/pubmed/29924958","Han J, Yu J, Dai Y, Li J, Guo M, Song J, Zhou X.","Bosn J Basic Med Sci. 2019 Feb 12;19(1):52-59. doi: 10.17305/bjbms.2018.3399.","Bosn J Basic Med Sci.  2019","PubMed","citation","PMID:29924958 | PMCID:PMC6387672","pubmed","29924958","create date:2018/06/21 | first author:Han J",
"Salidroside inhibits migration, invasion and angiogenesis of MDA‑MB 231 TNBC cells by regulating EGFR/Jak2/STAT3 signaling via MMP2.","/pubmed/29901185","Kang DY, Sp N, Kim DH, Joung YH, Lee HG, Park YM, Yang YM.","Int J Oncol. 2018 Aug;53(2):877-885. doi: 10.3892/ijo.2018.4430. Epub 2018 Jun 5.","Int J Oncol.  2018","PubMed","citation","PMID:29901185","pubmed","29901185","create date:2018/06/15 | first author:Kang DY",
"An Immunosuppressive Role for Eya3 in TNBC.","/pubmed/29884726","[No authors listed]","Cancer Discov. 2018 Aug;8(8):OF8. doi: 10.1158/2159-8290.CD-NB2018-072. Epub 2018 Jun 8.","Cancer Discov.  2018","PubMed","citation","PMID:29884726","pubmed","29884726","create date:2018/06/10",
"TGF-β plays a vital role in triple-negative breast cancer (TNBC) drug-resistance through regulating stemness, EMT and apoptosis.","/pubmed/29792857","Xu X, Zhang L, He X, Zhang P, Sun C, Xu X, Lu Y, Li F.","Biochem Biophys Res Commun. 2018 Jul 7;502(1):160-165. doi: 10.1016/j.bbrc.2018.05.139. Epub 2018 May 24.","Biochem Biophys Res Commun.  2018","PubMed","citation","PMID:29792857","pubmed","29792857","create date:2018/05/25 | first author:Xu X",
"IMP3 promotes TNBC stem cell property through miRNA-34a regulation.","/pubmed/29771420","Huang QD, Zheng SR, Cai YJ, Chen DL, Shen YY, Lin CQ, Hu XQ, Wang XH, Shi H, Guo GL.","Eur Rev Med Pharmacol Sci. 2018 May;22(9):2688-2696. doi: 10.26355/eurrev_201805_14965.","Eur Rev Med Pharmacol Sci.  2018","PubMed","citation","PMID:29771420","pubmed","29771420","create date:2018/05/18 | first author:Huang QD",
"How shall we treat early triple-negative breast cancer (TNBC): from the current standard to upcoming immuno-molecular strategies.","/pubmed/29765774","Park JH, Ahn JH, Kim SB.","ESMO Open. 2018 May 3;3(Suppl 1):e000357. doi: 10.1136/esmoopen-2018-000357. eCollection 2018. Review.","ESMO Open.  2018","PubMed","citation","PMID:29765774 | PMCID:PMC5950702","pubmed","29765774","create date:2018/05/17 | first author:Park JH",
"GPER/Hippo-YAP signal is involved in Bisphenol S induced migration of triple negative breast cancer (TNBC) cells.","/pubmed/29758456","Deng Q, Jiang G, Wu Y, Li J, Liang W, Chen L, Su Q, Li W, Du J, Wong CKC, Chen Z, Wang H.","J Hazard Mater. 2018 Aug 5;355:1-9. doi: 10.1016/j.jhazmat.2018.05.013. Epub 2018 May 8.","J Hazard Mater.  2018","PubMed","citation","PMID:29758456","pubmed","29758456","create date:2018/05/15 | first author:Deng Q",
"Inhibiting PTPN12-Regulated RTKs May Be Therapeutic in TNBC.","/pubmed/29602824","[No authors listed]","Cancer Discov. 2018 May;8(5):530. doi: 10.1158/2159-8290.CD-RW2018-056. Epub 2018 Mar 30.","Cancer Discov.  2018","PubMed","citation","PMID:29602824","pubmed","29602824","create date:2018/04/01",
"The anti-tumor efficacy of CDK4/6 inhibition is enhanced by the combination with PI3K/AKT/mTOR inhibitors through impairment of glucose metabolism in TNBC cells.","/pubmed/29587820","Cretella D, Ravelli A, Fumarola C, La Monica S, Digiacomo G, Cavazzoni A, Alfieri R, Biondi A, Generali D, Bonelli M, Petronini PG.","J Exp Clin Cancer Res. 2018 Mar 27;37(1):72. doi: 10.1186/s13046-018-0741-3. No abstract available. ","J Exp Clin Cancer Res.  2018","PubMed","citation","PMID:29587820 | PMCID:PMC5872523","pubmed","29587820","create date:2018/03/29 | first author:Cretella D",
"The ERβ4 variant induces transformation of the normal breast mammary epithelial cell line MCF-10A; the ERβ variants ERβ2 and ERβ5 increase aggressiveness of TNBC by regulation of hypoxic signaling.","/pubmed/29552303","Faria M, Karami S, Granados-Principal S, Dey P, Verma A, Choi DS, Elemento O, Bawa-Khalfe T, Chang JC, Strom AM, Gustafsson JÅ.","Oncotarget. 2018 Jan 10;9(15):12201-12211. doi: 10.18632/oncotarget.24134. eCollection 2018 Feb 23.","Oncotarget.  2018","PubMed","citation","PMID:29552303 | PMCID:PMC5844739","pubmed","29552303","create date:2018/03/20 | first author:Faria M",
"Discovery of N-(Naphtho[1,2-b]Furan-5-Yl) Benzenesulfonamides as Novel Selective Inhibitors of Triple-Negative Breast Cancer (TNBC).","/pubmed/29547591","Chen Y, Tang Y, Mao B, Li W, Jin H, Zhang L, Liu Z.","Molecules. 2018 Mar 16;23(3). pii: E678. doi: 10.3390/molecules23030678.","Molecules.  2018","PubMed","citation","PMID:29547591 | PMCID:PMC6017705","pubmed","29547591","create date:2018/03/17 | first author:Chen Y",
"Leptin Signaling Mediates Obesity-Associated CSC Enrichment and EMT in Preclinical TNBC Models.","/pubmed/29453319","Bowers LW, Rossi EL, McDonell SB, Doerstling SS, Khatib SA, Lineberger CG, Albright JE, Tang X, deGraffenried LA, Hursting SD.","Mol Cancer Res. 2018 May;16(5):869-879. doi: 10.1158/1541-7786.MCR-17-0508. Epub 2018 Feb 16.","Mol Cancer Res.  2018","PubMed","citation","PMID:29453319 | PMCID:PMC5967653","pubmed","29453319","create date:2018/02/18 | first author:Bowers LW",
"Checkpoint inhibitors in triple-negative breast cancer (TNBC): Where to go from here.","/pubmed/29424936","Kwa MJ, Adams S.","Cancer. 2018 May 15;124(10):2086-2103. doi: 10.1002/cncr.31272. Epub 2018 Feb 9. Review.","Cancer.  2018","PubMed","citation","PMID:29424936","pubmed","29424936","create date:2018/02/10 | first author:Kwa MJ",
